Marca,Nombre,Género,Familia,Precio USD,Volumen ML,Notas Salida,Notas Corazón,Notas Fondo
Lattafa,LATTAFA OPULENT OUD 100ML,Masculino,Oriental,18,100,"Resinas; Ámbar; Almizcle","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA YARA CANDY 100ML,Femenino,Gourmand,27,100,"Rosa; Bergamota; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA HAYAATI AL MALEKY 100ML,Masculino,Amaderado,20,100,"Musgo de roble; Oud; Vetiver","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF CLUB DE NUIT MILESTONE 105ML,Masculino,Aromático,36,105,"Tonka; Romero; Cardamomo","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Al Wataniah,AL WATANIAH SHAGAF AL WARD 100ML,Femenino,Floral,22,100,"Pera; Violeta; Almizcle","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA LA VIVACITE 100ML,Femenino,Floral,24,100,"Vainilla; Jazmín; Lirio","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Bharara,BHARARA ROSE 100ML,Femenino,Floral,56,100,"Violeta; Ámbar; Peonía","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Armaf,ARMAF CLUB DE NUIT URBAN MAN ELIXIR 105ML,Masculino,Aromático,43,105,"Almizcle; Geranio; Romero","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
French Avenue,FRENCH AVENUE GENESIS CANCER 90ML,Femenino,Acuático,44,90,"Menta; Almizcle; Cedro","Notas marinas; Lavanda; Geranio","Almizcle; Ámbar gris; Cedro"
Afnan,AFNAN 9PM REBEL 100ML,Masculino,Oriental,45,100,"Almizcle; Rosa; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA BADE'E AL OUD AMETHYST 100ML,Masculino,Oriental,24,100,"Pachulí; Vainilla; Bergamota","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA ART OF UNIVERSE 100ML,Masculino,Oriental,38,100,"Ámbar; Rosa; Azafrán","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Paris Corner,PARIS CORNER MARSHMALLOW BLUSH 100ML,Femenino,Gourmand,38,100,"Tonka; Frutas rojas; Café","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA ANGHAM 100ML,Femenino,Floral,29,100,"Ámbar; Rosa; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Maison Alhambra,MAISON ALHAMBRA COMO MOISELLE 100ML,Femenino,Floral,30,100,"Violeta; Almizcle; Cedro","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA ANGHAM SECOND SONG 100ML,Femenino,Floral,33,100,"Bergamota; Limón; Violeta","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Fragrance World,FRAGRANCE WORLD HAYAATI 100ML,Masculino,Amaderado,21,100,"Bergamota; Pimienta negra; Pachulí","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Armaf,ARMAF ODYSSEY DUBAI CHOCOLAT 100ML,Masculino,Gourmand,18,100,"Miel; Almizcle dulce; Frutas rojas","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Afnan,AFNAN 9PM NIGHT OUT 100ML,Masculino,Oriental,65,100,"Resinas; Vainilla; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Fragrance World,FRAGRANCE WORLD PROUD OF YOU ABSOLUTE 100ML,Masculino,Oriental,24,100,"Vetiver; Oud; Cedro","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Lattafa,LATTAFA SAKEENA 100ML,Femenino,Floral,24,100,"Pera; Bergamota; Peonía","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Paris Corner,PARIS CORNER KHAIR CONFECTION 100ML,Femenino,Gourmand,30,100,"Café; Almizcle dulce; Vainilla","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA HAYAATI 100ML,Masculino,Oriental,19,100,"Incienso; Vainilla; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Al Wataniah,AL WATANIAH ATTAR AL WESAL 100ML,Masculino,Oriental,21,100,"Azafrán; Pachulí; Canela","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Zimaya,ZIMAYA TIRAMISU COCO 100ML,Femenino,Gourmand,30,100,"Almizcle dulce; Caramelo; Ámbar","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Lattafa,LATTAFA MAAHIR LEGACY 100ML,Masculino,Amaderado,28,100,"Pachulí; Sándalo; Vetiver","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
French Avenue,FRENCH AVENUE GENESIS TAURUS 90ML,Masculino,Amaderado,44,90,"Cedro; Sándalo; Pimienta negra","Cedro; Vetiver; Pachulí","Sándalo; Oud; Musgo de roble"
Zimaya,ZIMAYA TIRAMISU CARAMEL 100ML,Femenino,Gourmand,35,100,"Café; Ámbar; Miel","Praliné; Café; Cacao","Vainilla; Tonka; Almizcle dulce"
Al Wataniah,AL WATANIAH THAHAANI 100ML,Femenino,Oriental,20,100,"Ámbar; Bergamota; Resinas","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
French Avenue,FRENCH AVENUE PINNACE 100ML,Femenino,Floral,45,100,"Rosa; Jazmín; Limón","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Al Wataniah,AL WATANIAH SULTAN AL LAIL 100ML,Masculino,Oriental,19,100,"Azafrán; Resinas; Ámbar","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Anfar,ANFAR ROYAL IMPERIAL 100ML,Masculino,Oriental,47,100,"Bergamota; Resinas; Oud","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
Lattafa,LATTAFA MUSAMAM 100ML,Femenino,Floral,29,100,"Lirio; Rosa; Almizcle","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Bharara,BHARARA MAST PERFUME ROME POUR HOMME 100ML,Masculino,Aromático,54,100,"Almizcle; Salvia; Lavanda","Geranio; Cardamomo; Clavo","Vetiver; Cedro; Tonka"
Afnan,AFNAN 9PM POUR FEMME 100ML,Femenino,Floral,39,100,"Rosa; Violeta; Peonía","Rosa; Jazmín; Peonía","Almizcle; Ámbar; Cedro"
Lattafa,LATTAFA ISHQ AL SHUYUKH SILVER 100ML,Masculino,Oriental,33,100,"Vainilla; Resinas; Incienso","Rosa; Oud; Incienso","Ámbar; Almizcle; Vainilla"
